id;libelle;ville;commune;departement
1;synthesize invoice Jewelery;virtual;Bermudian Dollar (customarily known as Bermuda Dollar);Pennsylvania
2;Consultant models overriding;matrix function;copying;redundant Awesome Metal Chips Personal Loan Account
3;holistic;Tugrik interface Assistant;overriding neural transmit;Central
4;Rubber evolve;Avon monitor;extranet;Buckinghamshire Practical
5;Tactics Borders Object-based;Small Fresh Chicken indexing;TCP;Quality
6;Soft payment;Metal bluetooth Rhode Island;Berkshire Practical Steel Tuna Cambridgeshire;process improvement Turkmenistan Executive
7;Computers;Soft;Isle;transmitter National
8;quantify sensor;incremental;Beauty action-items;Savings Account Soft
9;Norfolk Island Tasty Licensed Granite Chicken;withdrawal connect Auto Loan Account;Games paradigm invoice;Senegal Berkshire drive
10;Gorgeous Metal Fish;tertiary;Generic Credit Card Account capacitor;Generic Plastic
