id;est_meuble;description;type;surface
1;true;Awesome Rubber Salad Fresh red;Immeuble;92383
2;false;migration;Maison;33891
3;true;Human holistic El Salvador Colon US Dollar;Appartement;65733
4;false;invoice;Parking;67814
5;true;transmitter;Maison;47172
6;true;Ergonomic Steel Towels Awesome;Local_Commercial;5915
7;false;Incredible turn-key;Local_Commercial;83574
8;true;quantify Identity Quality-focused;Parking;13326
9;false;feed Causeway;Parking;76537
10;true;Savings Account tertiary Keys;Appartement;69623
